34.13691765131754,-118.1257765062833
34.13691848654604,-118.12568541700143
34.13688602544326,-118.1256849865373
34.1369068906117,-118.12576985640725
34.1368744295098,-118.125769425911
34.13688602544326,-118.1256849865373
34.136858974524145,-118.1256846278177
34.13686366880343,-118.12576277603938
34.136831148040336,-118.12576885191709
34.136842743972615,-118.12568441258618
34.13682110323717,-118.12568412561109
34.13683126736176,-118.125755839176
34.1368750857616,-118.12569785579755
34.13691230079533,-118.12576992815669
