327300.043969744,3923908.2412105505,1
0.0,0.0,0.0,0.0,0.0,0.0,2.741,2.374,2.654,1.633,1.095,0.939,0.981,1.036,1.129,0.642,1.036,1.187,1.385,1.534,1.858,1.882,1.406
0.0,0.0,0.0,0.0,0.0,0.0,2.85,2.493,2.832,1.893,1.322,1.214,1.232,1.307,1.32,0.843,1.088,1.308,1.478,1.571,1.892,1.876,1.398
0.0,0.0,0.0,0.0,0.0,0.0,3.148,3.1,3.643,3.152,2.739,2.724,2.666,2.629,2.573,2.09,2.138,2.117,2.166,2.115,2.254,2.102,1.655
0.0,0.0,0.0,0.0,0.0,0.0,3.147,3.327,4.095,4.01,3.584,3.474,3.439,3.257,3.108,2.569,2.485,2.282,2.25,2.124,2.438,2.503,2.243
0.0,0.0,0.0,0.0,0.0,1.581,2.35,2.503,3.439,3.997,3.569,3.292,3.302,3.17,3.172,2.917,2.717,2.606,2.409,2.062,2.576,3.018,3.156
0.368,0.395,0.383,0.391,0.403,0.761,1.13,1.287,1.961,2.828,3.078,2.955,3.003,2.979,3.182,3.459,3.321,3.194,2.892,2.532,2.72,3.457,3.566
0.281,0.209,0.121,0.195,0.184,0.447,0.745,0.874,1.112,1.383,1.884,2.012,2.173,2.217,2.562,3.189,3.08,2.996,2.888,2.866,2.836,3.474,3.6
0.3,0.231,0.284,0.493,0.403,0.471,0.866,0.97,1.016,1.056,1.352,1.493,1.636,1.75,2.044,2.734,2.547,2.728,2.829,3.018,3.088,3.453,3.698
0.316,0.32,0.59,0.673,0.544,0.578,0.932,1.007,1.013,0.974,1.155,1.261,1.39,1.578,1.768,2.268,2.039,2.209,2.337,2.542,2.436,2.646,2.492
0.417,0.52,0.935,0.799,0.735,0.735,0.957,1.056,1.091,1.083,1.217,1.367,1.475,1.689,1.875,2.264,2.357,2.185,2.272,2.379,2.3,2.048,1.864
0.481,0.837,1.339,1.006,0.915,0.886,1.07,1.233,1.267,1.354,1.483,1.684,1.734,1.95,2.194,2.369,2.803,2.433,2.458,2.406,2.305,1.821,1.887
0.641,1.431,1.948,1.375,1.179,1.273,1.459,1.678,1.636,1.816,2.064,2.19,2.237,2.433,2.729,2.792,3.163,2.676,2.557,2.344,1.981,1.59,1.543
1.627,2.906,2.923,2.351,2.061,2.18,2.265,2.339,2.245,2.513,2.729,2.708,2.775,2.975,3.281,3.206,3.447,3.221,2.974,2.784,2.623,2.35,2.437
6.954,7.636,5.729,4.636,4.115,3.976,3.562,3.262,3.2,3.254,3.242,3.058,3.111,3.265,3.327,2.924,2.933,3.094,2.817,2.744,2.973,2.848,3.208
0.0,10.47,7.356,5.732,5.139,4.819,4.143,3.679,3.671,3.536,3.347,3.095,3.092,3.084,2.857,2.417,2.165,2.595,2.438,2.314,2.658,2.746,3.172
8.316,6.084,5.345,4.198,3.699,3.735,3.426,3.074,3.082,3.027,2.82,2.71,2.677,2.544,2.327,2.068,1.798,2.281,2.365,2.359,2.489,2.686,3.064
3.175,2.885,3.573,2.99,2.608,2.776,2.691,2.428,2.374,2.286,2.119,2.086,2.079,1.815,1.674,1.564,1.41,1.812,1.999,2.295,2.749,3.278,3.914
1.914,2.681,3.016,2.849,2.583,2.443,2.386,2.051,1.906,1.735,1.594,1.516,1.438,1.162,1.099,1.055,0.914,1.113,1.361,1.6,2.028,2.818,3.703
2.037,2.363,1.851,1.713,1.802,1.638,1.742,1.421,1.223,1.079,0.989,0.893,0.778,0.635,0.505,0.453,0.388,0.277,0.378,0.513,0.553,1.292,1.82
